#{"t_start": 1762006487.230533, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.742729
-200.0,200,3.118209
-200.0,200,3.502757
-200.0,200,3.885749
-200.0,200,4.26912
-200.0,200,4.649863
-200.0,200,5.027846
-200.0,200,5.431349
-200.0,200,6.103588
-200.0,200,6.796193
-200.0,200,7.437523
-200.0,200,7.809931
-200.0,200,8.187819
-200.0,200,8.570789
-200.0,200,8.951832
-200.0,200,9.33123
-200.0,200,9.712461
-200.0,200,10.084055
-200.0,200,10.46918
-200.0,200,10.94292
-200.0,200,11.704137
-200.0,200,12.129866
-200.0,200,12.522818
-200.0,200,12.929534
-200.0,200,13.324712
-200.0,200,13.723245
-200.0,200,14.140038
-200.0,200,14.610119
-200.0,200,15.055251
-200.0,200,15.501261
-200.0,200,15.908658
-200.0,200,16.29133
-200.0,200,16.68533
-200.0,200,17.062933
-200.0,200,17.440029
-200.0,200,17.816309
-200.0,200,18.200364
-200.0,200,18.580053
-200.0,200,18.960859
-200.0,200,19.334669
-200.0,200,19.708018
-200.0,200,20.085309
-200.0,200,20.467424
-200.0,200,20.842683
-200.0,200,21.217355
-200.0,200,21.595111
-200.0,200,21.967198
-200.0,200,22.341085
-200.0,200,22.715874
-200.0,200,23.085156
-200.0,200,23.461585
-200.0,200,23.838552
-200.0,200,24.213081
-200.0,200,24.595307
-200.0,200,24.971241
-200.0,200,25.345852
-200.0,200,25.717581
-200.0,200,26.087671
-200.0,200,26.465118
-200.0,200,26.843626
-200.0,200,27.223064
-200.0,200,27.595218
-200.0,200,27.967528
-200.0,200,28.337986
-200.0,200,28.714459
-200.0,200,29.090004
-200.0,200,29.47204
-200.0,200,29.850896
-200.0,200,30.219852
-200.0,200,30.596251
-200.0,200,30.973444
-200.0,200,31.345654
-200.0,200,31.724443
-200.0,200,32.104287
-200.0,200,32.483774
-200.0,200,32.858899
-200.0,200,33.233874
-200.0,200,33.61759
-200.0,200,34.017415
-200.0,200,34.487107
-200.0,200,34.917151
-200.0,200,35.346336
-200.0,200,35.75779
-200.0,200,36.166164
-200.0,200,36.56573
-200.0,200,36.955233
-200.0,200,37.339321
-200.0,200,37.740019
-200.0,200,38.120308
-200.0,200,38.506098
-200.0,200,38.916398
-200.0,200,39.355458
-200.0,200,39.764094
-200.0,200,40.153127
-200.0,200,40.545796
-200.0,200,40.937751
-200.0,200,41.326604
-200.0,200,41.71053
-200.0,200,42.094306
-200.0,200,42.476072
-200.0,200,42.860196
-200.0,200,43.244778
-200.0,200,43.631401
-200.0,200,44.018497
-200.0,200,44.397246
-200.0,200,44.779335
-200.0,200,45.154173
-200.0,200,45.53499
-200.0,200,45.913636
-200.0,200,46.321219
-200.0,200,46.7026
-200.0,200,47.086033
-200.0,200,47.468606
-200.0,200,47.845882
-200.0,200,48.224445
-200.0,200,48.603964
-200.0,200,48.982617
-200.0,200,49.356287
-200.0,200,49.743328
-200.0,200,50.124919
-200.0,200,50.509425
-200.0,200,50.890623
-200.0,200,51.275425
-200.0,200,51.653332
-200.0,200,52.030049
-200.0,200,52.405871
-200.0,200,52.780789
-200.0,200,53.152432
-200.0,200,53.534194
-200.0,200,53.912796
-200.0,200,54.293789
-200.0,200,54.674999
-200.0,200,55.058707
-200.0,200,55.44274
-200.0,200,55.819591
-200.0,200,56.199445
-200.0,200,56.578214
-200.0,200,56.953927
-200.0,200,57.327896
-200.0,200,57.704204
-200.0,200,58.084282
-200.0,200,58.457403
-200.0,200,58.83426
-200.0,200,59.208158
-200.0,200,59.58071
-200.0,200,59.957922
-200.0,200,60.338011
-200.0,200,60.744499
-200.0,200,61.125028
-200.0,200,61.508096
-200.0,200,61.885795
-200.0,200,62.263374
-200.0,200,62.642014
-200.0,200,63.025529
-200.0,200,63.401054
-200.0,200,63.780298
-200.0,200,64.157963
-200.0,200,64.539453
-200.0,200,64.917057
-200.0,200,65.289595
-200.0,200,65.666621
-200.0,200,66.041831
-200.0,200,66.422082
-200.0,200,66.794178
-200.0,200,67.179715
-200.0,200,67.56247
-200.0,200,67.944793
-200.0,200,68.327137
-200.0,200,68.707123
-200.0,200,69.083343
-200.0,200,69.469988
-200.0,200,69.849238
-200.0,200,70.231678
-200.0,200,70.615892
-200.0,200,70.995232
-200.0,200,71.375921
-200.0,200,71.751922
-200.0,200,72.12885
-200.0,200,72.507249
-200.0,200,72.88906
-200.0,200,73.271171
-200.0,200,73.648997
-200.0,200,74.034604
-200.0,200,74.421225
-200.0,200,74.807224
-200.0,200,75.189237
-200.0,200,75.570906
-200.0,200,75.94962
-200.0,200,76.325506
-200.0,200,76.702235
-200.0,200,77.083793
-200.0,200,77.460226
-200.0,200,77.840403
-200.0,200,78.219916
-200.0,200,78.598894
-200.0,200,78.984049
-200.0,200,79.361245
-200.0,200,79.736856
-200.0,200,80.110955
-200.0,200,80.486935
-200.0,200,80.860634
-200.0,200,81.233381
-200.0,200,81.607727
-200.0,200,81.976948
-200.0,200,82.347848
-200.0,200,82.729103
-200.0,200,83.104794
-200.0,200,83.482854
-200.0,200,83.861008
-200.0,200,84.238928
-200.0,200,84.622
-200.0,200,85.001432
-200.0,200,85.385892
-200.0,200,85.76526
-200.0,200,86.143778
-200.0,200,86.523794
-200.0,200,86.900659
-200.0,200,87.275578
-200.0,200,87.655697
-200.0,200,88.034616
-200.0,200,88.412755
-200.0,200,88.796015
-200.0,200,89.179124
-200.0,200,89.55953
-200.0,200,89.933986
-200.0,200,90.309018
-200.0,200,90.685893
-200.0,200,91.056769
-200.0,200,91.434114
-200.0,200,91.813359
-200.0,200,92.192878
-200.0,200,92.568523
-200.0,200,92.946319
-200.0,200,93.322461
-200.0,200,93.700031
-200.0,200,94.080509
-200.0,200,94.472152
-200.0,200,94.85238
-200.0,200,95.226929
-200.0,200,95.613955
-200.0,200,96.051648
-200.0,200,96.463543
-200.0,200,96.873848
-200.0,200,97.283617
-200.0,200,97.681177
-200.0,200,98.081611
-200.0,200,98.464875
-200.0,200,98.852854
-200.0,200,99.239365
-200.0,200,99.622499
-200.0,200,100.02758
-200.0,200,100.409954
-200.0,200,100.79517
-200.0,200,101.204469
-200.0,200,101.625332
-200.0,200,102.021239
-200.0,200,102.418006
