#{"t_start": 1762054610.8180823, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.392165
-200.0,200,3.802396
-200.0,200,4.206571
-200.0,200,4.606647
-200.0,200,5.00821
-200.0,200,5.41101
-200.0,200,5.817785
-200.0,200,6.231989
-200.0,200,6.638764
-200.0,200,7.048142
-200.0,200,7.44792
-200.0,200,7.85201
-200.0,200,8.260476
-200.0,200,8.665194
-200.0,200,9.068479
-200.0,200,9.467725
-200.0,200,9.866703
-200.0,200,10.259705
-200.0,200,10.662915
-200.0,200,11.063442
-200.0,200,11.463208
-200.0,200,11.861108
-200.0,200,12.276337
-200.0,200,12.682316
-200.0,200,13.092427
-200.0,200,13.552797
-200.0,200,15.595615
-200.0,200,17.725515
-200.0,200,19.855475
-200.0,200,21.832048
-200.0,200,23.168971
-200.0,200,23.891127
-200.0,200,24.373852
-200.0,200,25.26465
-200.0,200,26.088782
-200.0,200,26.945207
-200.0,200,27.795937
-200.0,200,28.730439
-200.0,200,29.690552
-200.0,200,30.655331
-200.0,200,31.610589
-200.0,200,32.579789
-200.0,200,33.808357
-200.0,200,34.863515
-200.0,200,35.888165
-200.0,200,36.736081
-200.0,200,37.138323
-200.0,200,37.546594
-200.0,200,37.956573
-200.0,200,38.363045
-200.0,200,38.773775
-200.0,200,39.177829
-200.0,200,39.583922
-200.0,200,39.99009
-200.0,200,40.38354
-200.0,200,40.778883
-200.0,200,41.175286
-200.0,200,41.570424
-200.0,200,41.966377
-200.0,200,42.36636
-200.0,200,42.776462
-200.0,200,43.173263
-200.0,200,43.575392
-200.0,200,43.978377
-200.0,200,44.383619
-200.0,200,44.788967
-200.0,200,45.184189
-200.0,200,45.591347
-200.0,200,45.99965
-200.0,200,46.40643
-200.0,200,46.807458
-200.0,200,47.203008
-200.0,200,47.60265
-200.0,200,47.996951
-200.0,200,48.390241
-200.0,200,48.785211
-200.0,200,49.183642
-200.0,200,49.595856
-200.0,200,50.006979
-200.0,200,50.416311
-200.0,200,50.835119
-200.0,200,51.251994
-200.0,200,51.665338
-200.0,200,52.08112
-200.0,200,52.48987
-200.0,200,52.898474
-200.0,200,53.306625
-200.0,200,53.717889
-200.0,200,54.133436
-200.0,200,54.54173
-200.0,200,54.964134
-200.0,200,55.387528
-200.0,200,55.800617
-200.0,200,56.211259
-200.0,200,56.617749
-200.0,200,57.024936
-200.0,200,57.438307
-200.0,200,57.846955
-200.0,200,58.25825
-200.0,200,58.67567
-200.0,200,59.082675
-200.0,200,59.486594
-200.0,200,59.891144
