#{"t_start": 1762005730.807765, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.035671
-200.0,200,2.061613
-200.0,200,2.187573
-200.0,200,2.384107
-200.0,200,2.581159
-200.0,200,2.788652
-200.0,200,2.991826
-200.0,200,3.197378
-200.0,200,3.416793
-200.0,200,3.627595
-200.0,200,3.835643
-200.0,200,4.044579
-200.0,200,4.262163
-200.0,200,4.482192
-200.0,200,4.700925
-200.0,200,4.92675
-200.0,200,5.148525
-200.0,200,5.381476
-200.0,200,5.60842
-200.0,200,5.846869
-200.0,200,6.081005
-200.0,200,6.310461
-200.0,200,6.544688
-200.0,200,6.784848
-200.0,200,7.026684
-200.0,200,7.265911
-200.0,200,7.507942
-200.0,200,7.751534
-200.0,200,7.997745
-200.0,200,8.235668
-200.0,200,8.484642
-200.0,200,8.731919
-200.0,200,8.981357
-200.0,200,9.227576
-200.0,200,9.475896
-200.0,200,9.72853
-200.0,200,9.982973
-200.0,200,10.246271
-200.0,200,10.507447
-200.0,200,10.768887
-200.0,200,11.045753
-200.0,200,11.310905
-200.0,200,11.577571
-200.0,200,11.841706
-200.0,200,12.112236
-200.0,200,12.381068
-200.0,200,12.654469
-200.0,200,12.925676
-200.0,200,13.201119
-200.0,200,13.476716
-200.0,200,13.756846
-200.0,200,14.030505
-200.0,200,14.304029
-200.0,200,14.576899
-200.0,200,14.84843
-200.0,200,15.129006
-200.0,200,15.407481
-200.0,200,15.690611
-200.0,200,15.978888
-200.0,200,16.265542
-200.0,200,16.546545
-200.0,200,16.820607
-200.0,200,17.09399
-200.0,200,17.376167
-200.0,200,17.65767
-200.0,200,17.938771
-200.0,200,18.214585
-200.0,200,18.491486
-200.0,200,18.775681
-200.0,200,19.056509
-200.0,200,19.334442
-200.0,200,19.602798
-200.0,200,19.879005
-200.0,200,20.148142
-200.0,200,20.426902
-200.0,200,20.705337
-200.0,200,20.994743
-200.0,200,21.274362
-200.0,200,21.556415
-200.0,200,21.840808
-200.0,200,22.190227
-200.0,200,22.535873
-200.0,200,22.889954
-200.0,200,23.226749
-200.0,200,23.569159
-200.0,200,23.89417
-200.0,200,24.207064
-200.0,200,24.517107
-200.0,200,24.82066
-200.0,200,25.110142
-200.0,200,25.401561
-200.0,200,25.714268
-200.0,200,26.028304
-200.0,200,26.311248
-200.0,200,26.602229
