#{"t_start": 1762054887.7547696, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,2.5736
-200.0,200,2.769921
-200.0,200,2.964749
-200.0,200,3.157694
-200.0,200,3.35031
-200.0,200,3.544375
-200.0,200,3.740529
-200.0,200,3.936378
-200.0,200,4.129397
-200.0,200,4.322335
-200.0,200,6.788135
-200.0,200,7.220795
-200.0,200,7.553731
-200.0,200,8.109437
-200.0,200,8.513682
-200.0,200,8.938886
-200.0,200,9.367429
-200.0,200,9.821495
-200.0,200,10.255441
-200.0,200,10.680802
-200.0,200,15.528992
-200.0,200,16.082319
-200.0,200,16.580887
-200.0,200,16.915174
-200.0,200,17.282563
-200.0,200,17.604119
-200.0,200,17.822091
-200.0,200,18.025505
-200.0,200,18.230841
-200.0,200,18.435377
-200.0,200,20.580442
-200.0,200,20.794601
-200.0,200,21.001702
-200.0,200,21.206248
-200.0,200,21.404696
-200.0,200,21.613557
-200.0,200,21.814727
-200.0,200,22.023384
-200.0,200,22.225585
-200.0,200,22.424474
-200.0,200,24.919683
-200.0,200,25.152694
-200.0,200,25.401625
-200.0,200,25.662496
-200.0,200,25.907832
-200.0,200,26.13655
-200.0,200,26.398268
-200.0,200,26.613934
-200.0,200,26.820359
-200.0,200,27.016639
-200.0,200,27.229443
-200.0,200,29.482115
-200.0,200,29.677771
-200.0,200,29.87529
-200.0,200,30.073368
-200.0,200,30.269726
-200.0,200,30.46441
-200.0,200,30.721319
-200.0,200,30.920461
-200.0,200,31.121771
-200.0,200,31.322313
-200.0,200,33.348102
-200.0,200,33.541888
-200.0,200,33.734563
-200.0,200,33.930146
-200.0,200,34.123973
-200.0,200,34.319463
-200.0,200,34.513689
-200.0,200,34.706371
-200.0,200,34.896528
-200.0,200,35.090697
-200.0,200,37.027513
-200.0,200,37.218737
-200.0,200,37.41092
-200.0,200,37.601761
-200.0,200,37.793193
-200.0,200,37.986125
-200.0,200,38.182535
-200.0,200,38.377264
-200.0,200,38.569869
-200.0,200,38.764778
-200.0,200,40.685628
-200.0,200,40.880333
-200.0,200,41.076125
-200.0,200,41.273503
-200.0,200,41.46971
-200.0,200,41.666494
-200.0,200,41.862205
-200.0,200,42.060161
-200.0,200,42.256014
-200.0,200,42.446794
-200.0,200,42.63781
-200.0,200,44.553959
-200.0,200,44.743986
-200.0,200,44.934663
